covariate,smdBefore,smdAfter,absSmdBefore,absSmdAfter
admission_age,-0.17946269353162525,0.03867457130890451,0.17946269353162525,0.03867457130890451
male,-0.0324445499368146,0.022819730018843142,0.0324445499368146,0.022819730018843142
apsiii,0.10173800595848294,-0.047926565643640666,0.10173800595848294,0.047926565643640666
oasis,0.06831278285596619,-0.04973716196919243,0.06831278285596619,0.04973716196919243
sofa,0.0720514006781077,-0.061727098217694246,0.0720514006781077,0.061727098217694246
charlson_comorbidity_index,-0.1542937152200652,0.04315976556630163,0.1542937152200652,0.04315976556630163
hemoglobin_min,0.07131928774122671,-0.016693950891213886,0.07131928774122671,0.016693950891213886
wbc_max,0.10085617225537213,-0.016374539848189682,0.10085617225537213,0.016374539848189682
creatinine_max,0.3971009744214877,-0.10320706880038635,0.3971009744214877,0.10320706880038635
bun_max,0.0846363658059255,0.018951978059645595,0.0846363658059255,0.018951978059645595
glucose_max,0.029954667846503996,0.006347775667288349,0.029954667846503996,0.006347775667288349
