row_index,treatment,propensity_score,logit_propensity_score
0,1,0.15662309917491937,-1.683571675787636
1,1,0.525485798220451,0.10203161709090333
2,0,0.6178035323253702,0.4802357083781329
3,1,0.5008948426197862,0.003579374300694902
4,1,0.6452088741452516,0.5980448618170813
5,0,0.5560091739504117,0.22498089385698788
6,1,0.5607989226146068,0.24440507130496508
7,1,0.6648720795315586,0.6850823494626169
8,0,0.5370680686259431,0.14854481688608473
9,1,0.8053879487965685,1.4203159893917665
10,0,0.5383457904506463,0.15368494021322154
11,1,0.7894916182684744,1.3218637466015577
12,1,0.478192388873904,-0.08728582018708338
13,0,0.5245312657533873,0.09820391024866071
14,1,0.6168993186540817,0.4764080015358908
15,1,0.5886849248801672,0.35853158129770474
16,0,0.8125749599367771,1.4668291891869478
17,1,0.6758983091737485,0.7349853073876029
18,1,0.7527232356777387,1.113189398674833
19,1,0.3894205932264287,-0.4497483774725436
20,1,0.6232807921738102,0.5034970238830944
21,1,0.804787299526274,1.4164882825495249
22,1,0.4479584876222238,-0.20892268046827392
23,1,0.8994065557207391,2.1906480739714276
24,0,0.6860029866474128,0.7814985071827841
25,1,0.9177415423318608,2.412049593527718
26,0,0.34109401336010076,-0.6584227253992698
27,0,0.7044409776893054,0.8685359948283193
28,1,0.8119913144846848,1.463001482344706
29,0,0.6750592486322513,0.7311576005453599
30,1,0.8127747549013404,1.468141605671843
31,1,0.8183662075030326,1.5053173919672613
32,0,0.7337048268464852,1.01350143741371
33,1,0.9076499559793144,2.285272609919392
34,1,0.6592293086622021,0.6598616469015933
35,0,0.9272773809901368,2.5456002809684346
36,1,0.685177901110947,0.7776708003405416
37,1,0.8858912210365406,2.049441972846224
38,1,0.5523973189894081,0.21036160197059756
39,1,0.8503463766431694,1.7373203221981872
40,1,0.9364676482610486,2.690565723553827
41,1,0.8320102686026586,1.599941927915227
42,1,0.8784833878904161,1.9781460192024576
43,0,0.8177965523425625,1.501489685125019
44,1,0.7329562929321248,1.0096737305714683
45,0,0.6539866912602358,0.6366097626113741
46,1,0.8218081177069038,1.5286459742714607
47,1,0.9550238813463964,3.055604694499052
48,1,0.8384113750655924,1.64645512771041
49,1,0.9487401085806116,2.9182263002160913
50,1,0.839106536616039,1.6515952510375458
51,0,0.8498586190610726,1.7334926153559453
52,1,0.5803823201883149,0.3243430485673031
53,1,0.9219201256466819,2.4687262552850955
54,0,0.6807615385486951,0.7572737295841776
55,1,0.6546172088565787,0.6393973093459918
56,1,0.7058022384122656,0.8750828830231252
57,1,0.2802861935741837,-0.9430424408461586
58,0,0.3624286997835574,-0.564838349558929
59,0,0.7235461377466555,0.9621203706686607
60,1,0.4779519866156358,-0.088249282280728
61,1,0.8451888374483691,1.6973540105978107
62,0,0.5179780083460538,0.07194304758001281
63,1,0.6254205388190021,0.5126203257376646
64,0,0.28976426127493965,-0.8965292410509769
65,1,0.6756872176171801,0.7340218452939575
66,1,0.6799291061949353,0.7534460227419348
67,0,0.5687589982613372,0.27678968866449677
68,1,0.8511776071754779,1.7438672103929922
69,1,0.7334159311654582,1.0120233285936462
70,0,0.6598724561050356,0.6627258916501911
71,1,0.45692941996294595,-0.17271035626649955
72,0,0.6039031609826431,0.42175513124988656
73,1,0.8446873404165942,1.6935263037555686
74,1,0.5170222541811019,0.06811534073777029
75,1,0.8758662708217062,1.9538539748046133
76,1,0.4930642164931027,-0.027744913681109817
77,1,0.7762640652470344,1.2440262588245725
78,0,0.4057929667114866,-0.38138470419322573
79,1,0.7587015646084196,1.1455740160343642
80,1,0.890788379460299,2.0988194173900045
81,0,0.7326668810724247,1.0081956217514048
82,1,0.5744714288784016,0.3001182709686958
83,0,0.6673167469929919,0.696073971103368
84,1,0.7842384841492754,1.290539458619754
85,1,0.9488792245322734,2.921090544964689
86,0,0.7184729796325506,0.936899668107638
87,1,0.9215689995286317,2.4638583883352276
88,0,0.4921075004818689,-0.031572620523352024
89,0,0.7755985732244827,1.24019855198233
90,1,0.49339226041938783,-0.02643249719621547
91,1,0.882296388520894,2.014358343404232
92,1,0.9314273119072607,2.608823830920617
93,1,0.867263851911845,1.8769799491212729
94,1,0.9050967627084132,2.2551840404085026
95,1,0.7409719048508444,1.051026178100378
96,1,0.7835900990373882,1.2867117517775115
97,0,0.6352642348700289,0.5548678699781653
98,1,0.858839436594554,1.8056839954775057
99,1,0.9655318278861077,3.332642715705097
100,1,0.907398221773469,2.282273062755705
101,1,0.8917732062152752,2.108982879352197
102,0,0.6185909753050204,0.48357191633439917
103,1,0.8818983011463664,2.0105306365619895
104,1,0.6459722096270878,0.6013810697733474
105,1,0.9030806047187213,2.2319321561182814
106,1,0.9578706607841889,3.1239683677783696
107,1,0.8265011864349082,1.5610305916309934
108,0,0.5164539222163294,0.06583946215923166
109,1,0.33939209459917197,-0.6660044196401141
110,0,0.5177374500739218,0.07097958548636822
111,1,0.7754174862197122,1.239158391874705
112,1,0.4576042496341387,-0.1699911749139367
113,1,0.8780820787977777,1.9743920318038564
114,1,0.3235947596461324,-0.7373003732838812
115,1,0.7592255433023816,1.148438260782961
116,0,0.3498971743711983,-0.6194912198449332
117,1,0.6575240607165487,0.6522799526607489
118,1,0.7370097270868856,1.0304840439479788
119,1,0.6350231921501575,0.5538277098705409
120,1,0.6036726738122279,0.4207916691562422
121,0,0.5505219747949369,0.20277990772975266
122,1,0.6412937930526551,0.5809839990169829
123,1,0.5260582850885441,0.10432766493954433
124,0,0.6679201442417131,0.6987931524559304
125,1,0.9112783326621667,2.329344238800867
126,0,0.32275751296728283,-0.7411280801261236
127,0,0.6869353878159997,0.7858306401014669
128,1,0.5620025029145229,0.24929310752493453
