group,time,at_risk,events,censored,survival
0,2.0,96,2,0,0.9791666666666666
0,2.892,94,1,0,0.96875
0,5.678,93,1,0,0.9583333333333334
0,5.742,92,1,0,0.9479166666666666
0,6.772,91,1,0,0.9375
0,7.135,90,1,0,0.9270833333333334
0,9.331,89,1,0,0.9166666666666666
0,12.045,88,1,0,0.90625
0,13.062,87,1,0,0.8958333333333334
0,13.473,86,1,0,0.8854166666666666
0,18.344,85,1,0,0.875
0,18.818,84,1,0,0.8645833333333334
0,25.89,83,1,0,0.8541666666666666
0,26.112,82,1,0,0.84375
0,29.058,81,1,0,0.8333333333333333
0,29.254,80,1,0,0.8229166666666666
0,34.218,79,1,0,0.8125
0,36.361,78,1,0,0.8020833333333334
0,37.047,77,1,0,0.7916666666666667
0,37.9,76,0,1,0.7916666666666667
0,43.145,75,1,0,0.7811111111111112
0,46.428,74,0,1,0.7811111111111112
0,46.836,73,1,0,0.7704109589041096
0,47.198,72,1,0,0.7597108066971081
0,52.86,71,1,0,0.7490106544901066
0,54.358,70,0,1,0.7490106544901066
0,55.534,69,1,0,0.7381554276134384
0,55.78,68,0,1,0.7381554276134384
0,55.946,67,0,1,0.7381554276134384
0,57.34,66,0,1,0.7381554276134384
0,57.63,65,0,1,0.7381554276134384
0,57.993,64,1,0,0.7266217490569785
0,58.831,63,0,1,0.7266217490569785
0,62.508,62,0,1,0.7266217490569785
0,62.821,61,1,0,0.7147099171052248
0,62.93,60,0,1,0.7147099171052248
0,68.547,59,0,1,0.7147099171052248
0,68.974,58,1,0,0.7023873323275485
0,69.367,57,0,1,0.7023873323275485
0,69.383,56,0,1,0.7023873323275485
0,69.536,55,1,0,0.6896166535579566
0,69.76,54,0,1,0.6896166535579566
0,71.697,53,1,0,0.676605018585165
0,72.47,52,0,1,0.676605018585165
0,73.222,51,0,1,0.676605018585165
0,75.318,50,1,0,0.6630729182134617
0,77.019,49,0,1,0.6630729182134617
0,78.292,48,0,1,0.6630729182134617
0,80.515,47,0,1,0.6630729182134617
0,80.968,46,0,1,0.6630729182134617
0,81.01,45,0,1,0.6630729182134617
0,81.403,44,0,1,0.6630729182134617
0,81.508,43,0,1,0.6630729182134617
0,83.203,42,1,0,0.6472854677798079
0,83.313,41,0,1,0.6472854677798079
0,83.511,40,0,1,0.6472854677798079
0,84.67,39,0,1,0.6472854677798079
0,85.712,38,0,1,0.6472854677798079
0,92.577,37,0,1,0.6472854677798079
0,93.718,36,0,1,0.6472854677798079
0,93.991,35,0,1,0.6472854677798079
0,99.063,34,0,1,0.6472854677798079
0,99.361,33,0,1,0.6472854677798079
0,100.532,32,1,0,0.6270577969116888
0,100.556,31,0,1,0.6270577969116888
0,100.655,30,0,1,0.6270577969116888
0,101.165,29,0,1,0.6270577969116888
0,104.918,28,1,0,0.6046628755934143
0,107.022,27,0,1,0.6046628755934143
0,108.194,26,0,1,0.6046628755934143
0,108.431,25,0,1,0.6046628755934143
0,118.528,24,0,1,0.6046628755934143
0,121.857,23,0,1,0.6046628755934143
0,122.528,22,0,1,0.6046628755934143
0,126.756,21,0,1,0.6046628755934143
0,128.229,20,0,1,0.6046628755934143
0,129.134,19,1,0,0.5728385137200767
0,133.545,18,1,0,0.5410141518467391
0,134.731,17,0,1,0.5410141518467391
0,140.583,16,0,1,0.5410141518467391
0,142.921,15,1,0,0.5049465417236232
0,143.899,14,0,1,0.5049465417236232
0,155.193,13,0,1,0.5049465417236232
0,162.553,12,0,1,0.5049465417236232
0,167.588,11,1,0,0.45904231065783924
0,191.27,10,0,1,0.45904231065783924
0,193.344,9,0,1,0.45904231065783924
0,213.445,8,0,1,0.45904231065783924
0,232.333,7,0,1,0.45904231065783924
0,239.038,6,0,1,0.45904231065783924
0,252.319,5,1,0,0.3672338485262714
0,303.5,4,0,1,0.3672338485262714
0,331.988,3,0,1,0.3672338485262714
0,378.988,2,0,1,0.3672338485262714
0,493.146,1,0,1,0.3672338485262714
1,2.0,144,3,0,0.9791666666666666
1,2.339,141,1,0,0.9722222222222222
1,2.852,140,1,0,0.9652777777777778
1,3.2,139,1,0,0.9583333333333334
1,4.168,138,1,0,0.9513888888888888
1,4.321,137,1,0,0.9444444444444444
1,4.737,136,1,0,0.9375
1,4.751,135,1,0,0.9305555555555556
1,4.812,134,1,0,0.9236111111111112
1,6.021,133,1,0,0.9166666666666666
1,7.635,132,1,0,0.9097222222222222
1,8.15,131,1,0,0.9027777777777778
1,8.669,130,1,0,0.8958333333333334
1,10.245,129,1,0,0.888888888888889
1,10.42,128,1,0,0.8819444444444445
1,10.457,127,1,0,0.8750000000000001
1,10.906,126,1,0,0.8680555555555557
1,11.547,125,1,0,0.8611111111111113
1,12.358,124,1,0,0.8541666666666669
1,12.812,123,1,0,0.8472222222222223
1,13.002,122,1,0,0.8402777777777779
1,13.477,121,1,0,0.8333333333333335
1,16.452,120,1,0,0.8263888888888891
1,19.216,119,1,0,0.8194444444444446
1,19.66,118,1,0,0.8125000000000002
1,21.086,117,1,0,0.8055555555555558
1,22.739,116,1,0,0.7986111111111114
1,23.189,115,1,0,0.791666666666667
1,24.018,114,1,0,0.7847222222222225
1,24.066,113,1,0,0.7777777777777781
1,24.087,112,1,0,0.7708333333333337
1,24.159,111,1,0,0.7638888888888893
1,24.174,110,1,0,0.7569444444444449
1,24.523,109,1,0,0.7500000000000004
