treated_index,control_index,distance
3963,3681,0.0
827,903,0.0
795,2166,0.0
1687,1912,0.0
2358,4014,0.0
4136,2621,0.00029557594297102696
2386,918,0.0
3742,570,0.0
2499,3991,0.0
1071,137,0.0004084137940196797
2871,1378,0.0
2716,4240,7.893268219572036e-05
500,3792,0.0
825,2009,0.0
3183,1505,0.0
2441,2928,0.0
4248,4061,0.0003342942208819366
180,2762,0.0003342942208819366
3233,3877,0.0
174,2615,0.00025526688440358214
2084,3267,0.0016657344821462416
1940,2740,0.0002552668844044703
3579,4150,6.257870732984117e-05
1661,3925,0.00025526688440358214
944,1722,0.0013808363183294148
3478,751,0.001605967181162793
974,2895,0.0008174211628757533
1437,3664,0.0002648495750094959
2672,465,0.00037083393020997946
69,3081,0.0
2742,1788,0.0011879706965385317
233,2495,0.0007147108416973857
292,2005,0.0
3578,368,0.0
1831,1146,0.0
1488,1451,0.0
812,2706,0.0006264067644563553
1601,2142,0.0
3221,3474,0.0
3604,1953,0.0
2181,3423,0.0021553966726002294
3506,3861,0.0002552668844044703
417,1662,0.00048312694199426076
106,3323,0.00011229301178339313
3602,3346,0.00011229301178339313
1549,318,0.0
753,1436,9.58269060502559e-06
4056,2851,0.0009699777261005238
1762,1112,9.5826906045815e-06
344,2396,0.0006617225032212737
3844,4153,7.166570582883836e-05
1247,4032,0.002156810008536958
4124,1812,0.0007147108416969417
2019,529,0.00032742828233978116
2690,1133,0.0002648495750094959
3679,2240,0.0
2209,314,0.0
4036,1388,0.0002648495750094959
3675,71,0.0005991437958909884
1183,2276,0.0008963538450696973
382,834,0.001976256272107957
1089,2172,6.630254944406389e-05
3514,300,0.001859560286911588
1595,4132,0.0010325564334312531
1197,2513,0.00011425118698538128
3575,1304,0.0
2371,2376,0.0007789633276811259
4066,1162,0.00042054823466308733
2000,1795,0.00048312694199381667
277,2256,0.0009699777261018561
1870,2858,0.0010416434319293622
2993,659,0.0
161,1025,0.00221110750121456
3816,3351,0.0
3022,3974,0.0008174211628757533
129,3419,0.0
32,3715,0.0007789633276824581
3229,208,0.0
1915,1675,0.0004114612361663106
740,1894,0.0011163049907092493
732,4023,0.0008179168549822258
985,1561,0.0014531046680947846
3968,404,0.0017374001879764123
1372,2467,0.001082270737884805
457,1426,0.0
4138,949,0.00011229301178339313
3137,2763,0.00023925420251913465
2423,2750,0.0006617225032212737
3305,1050,0.002819670925859885
1772,919,0.0009293012729871819
3363,3249,0.0016361032027343292
418,2034,0.0
1408,3309,0.0005585164899342132
2452,2525,0.002790535338554001
1889,614,0.0024521110296720217
428,3110,0.00155254765986923
85,321,0.00040645561881680337
2308,2582,0.004263085951520029
1222,2466,0.00048312694199426076
3905,386,0.0018639632603245637
3505,864,7.166570582883836e-05
3836,1086,8.669763929347596e-05
3805,564,0.0006617225032214957
3472,329,0.0036946541407236744
2752,3811,0.0004831269419940387
1858,2846,0.006060067531101776
4177,1653,0.0036896675255388978
998,2822,0.0076591812164155115
3867,2921,0.003596960474887334
2874,1103,0.0
2039,2338,0.004316074289995475
4015,4128,0.00023925420251869056
1616,3704,0.005242646368226467
1990,1257,0.003801960537323179
497,1751,0.0009699777261005238
57,289,0.009671013670007111
2287,1757,0.00033429422088104843
2320,2819,0.0004515350453424549
3120,2270,0.0
2811,3302,0.0010416434319293622
2041,1529,0.007440903849432079
363,462,0.007696170733835439
2778,675,0.0025256857635451713
3495,387,0.006880478331451334
3934,1192,0.00026757876976613026
2682,2772,0.003495663489645473
3266,3879,0.004977796793216527
1153,3509,0.0029352379716667265
220,4071,0.0037136564600823707
2090,3626,0.00966143097940031
3265,214,0.00539834502788028
1619,3635,0.0009699777261003018
4237,510,0.0007553381476521626
810,2804,0.0038019605373240672
24,663,0.002681384423199429
2845,1485,0.0010822707378852492
3724,3682,0.0
1866,427,0.006543194473095149
832,3530,0.0005141137526727402
1075,4235,0.011703989800951886
484,2444,0.004468086013955652
784,3898,0.006060067531102664
1753,3840,0.004088214232406351
2756,2398,0.00376365516108379
393,4174,0.012012245023832024
2353,1062,0.011305443094084655
1069,3271,0.003495663489645473
930,1149,0.011155105148780042
1252,2261,0.021396457717453243
3076,72,0.08768480122114342
1381,1704,0.09106571783169581
1026,841,0.037077328922
2611,1126,0.04860931621485587
2187,1914,0.009558720658222386
567,2776,0.014576649065286995
2123,2700,0.03291744898376592
3412,25,0.03773905142522116
4090,2519,0.05965158351258515
906,1412,0.052891534483154534
2291,3245,0.022080131622049082
1635,1322,0.11989131479451992
2831,1885,0.018555439496926368
3553,50,0.00011229301178325435
3045,2065,0.005874150638287029
1216,2512,0.007962749069336472
2798,721,0.041434030517950804
