covariate,smd_before,smd_after
admission_age,-0.22598604679205703,-0.0591328831586759
male,0.14882400694922068,0.07697623469026436
charlson_comorbidity_index,0.9022439166660968,-0.028457383939281267
valve_tavr,0.09106185775556552,0.025767781424264957
insurance_Medicare,0.08011195561465959,0.0
insurance_Other,0.03362955910335894,0.0
insurance_Private,-0.16207709817610144,0.04920750523582136
insurance_missing,-0.07688520003471995,
anchor_year_group_2011 - 2013,0.22503715376193237,0.03939384402536991
anchor_year_group_2014 - 2016,-0.11663388540141974,0.12511260462658486
anchor_year_group_2017 - 2019,-0.18134903477602615,-0.01788760718436254
anchor_year_group_2020 - 2022,-0.15935655245894684,0.07762812237834919
