group,time,at_risk,target_events,all_events,cumulative_incidence,survival_free_of_any_event
0,2.0,96,2,2,0.020833333333333332,0.9791666666666666
0,2.892,94,1,1,0.03125,0.96875
0,5.678,93,1,1,0.041666666666666664,0.9583333333333334
0,5.742,92,1,1,0.05208333333333333,0.9479166666666666
0,6.772,91,1,1,0.06249999999999999,0.9375
0,7.135,90,1,1,0.07291666666666666,0.9270833333333334
0,9.331,89,1,1,0.08333333333333333,0.9166666666666666
0,12.045,88,1,1,0.09375,0.90625
0,13.062,87,1,1,0.10416666666666667,0.8958333333333334
0,13.473,86,1,1,0.11458333333333334,0.8854166666666666
0,18.344,85,1,1,0.125,0.875
0,18.818,84,1,1,0.13541666666666666,0.8645833333333334
0,25.89,83,1,1,0.14583333333333331,0.8541666666666666
0,26.112,82,1,1,0.15624999999999997,0.84375
0,29.058,81,1,1,0.16666666666666663,0.8333333333333333
0,29.254,80,1,1,0.1770833333333333,0.8229166666666666
0,34.218,79,1,1,0.18749999999999994,0.8125
0,36.361,78,1,1,0.1979166666666666,0.8020833333333334
0,37.047,77,1,1,0.20833333333333326,0.7916666666666667
0,43.145,75,1,1,0.21888888888888883,0.7811111111111112
0,46.428,74,0,1,0.21888888888888883,0.7705555555555557
0,46.836,73,1,1,0.2294444444444444,0.76
0,47.198,72,1,1,0.23999999999999996,0.7494444444444445
0,52.86,71,1,1,0.25055555555555553,0.7388888888888889
0,55.534,69,1,1,0.26126409017713365,0.7281803542673109
0,55.946,67,0,1,0.26126409017713365,0.7173119907707838
0,57.993,64,1,1,0.27247209003292716,0.7061039909149903
0,62.821,61,1,1,0.28404756529382863,0.6945285156540888
0,68.547,59,0,1,0.28404756529382863,0.6827568458972398
0,68.974,58,1,1,0.2958192350506776,0.6709851761403909
0,69.367,57,0,1,0.2958192350506776,0.6592135063835419
0,69.536,55,1,1,0.307804935166742,0.6472278062674776
0,71.697,53,1,1,0.3200167805680152,0.6350159608662044
0,72.47,52,0,1,0.3200167805680152,0.6228041154649312
0,75.318,50,1,1,0.3324728628773138,0.6103480331556326
0,78.292,48,0,1,0.3324728628773138,0.5976324491315569
0,81.508,43,0,1,0.3324728628773138,0.5837340200819857
0,83.203,42,1,1,0.3463712919268849,0.5698355910324147
0,100.532,32,1,1,0.3641786541466479,0.5520282288126517
0,104.918,28,1,1,0.383893948032814,0.5323129349264856
0,129.134,19,1,1,0.41191041829210273,0.5042964646671969
0,133.545,18,1,1,0.43992688855139145,0.4762799944079082
0,142.921,15,1,1,0.47167888817858533,0.4445279947807143
0,155.193,13,0,1,0.47167888817858533,0.4103335336437363
0,167.588,11,1,1,0.5089819366916523,0.3730304851306694
0,232.333,7,0,1,0.5089819366916523,0.3197404158262881
0,252.319,5,1,1,0.5729300198569098,0.25579233266103046
1,2.0,144,3,3,0.020833333333333332,0.9791666666666666
1,2.339,141,1,1,0.027777777777777776,0.9722222222222222
1,2.852,140,1,1,0.034722222222222224,0.9652777777777778
1,3.2,139,1,1,0.04166666666666667,0.9583333333333334
1,4.168,138,1,1,0.04861111111111112,0.9513888888888888
1,4.321,137,1,1,0.055555555555555566,0.9444444444444444
1,4.737,136,1,1,0.06250000000000001,0.9375
1,4.751,135,1,1,0.06944444444444446,0.9305555555555556
1,4.812,134,1,1,0.07638888888888891,0.9236111111111112
1,6.021,133,1,1,0.08333333333333336,0.9166666666666666
1,7.635,132,1,1,0.0902777777777778,0.9097222222222222
1,8.15,131,1,1,0.09722222222222225,0.9027777777777778
1,8.669,130,1,1,0.1041666666666667,0.8958333333333334
1,10.245,129,1,1,0.11111111111111115,0.888888888888889
1,10.42,128,1,1,0.1180555555555556,0.8819444444444445
1,10.457,127,1,1,0.12500000000000003,0.8750000000000001
1,10.906,126,1,1,0.13194444444444448,0.8680555555555557
1,11.547,125,1,1,0.13888888888888892,0.8611111111111113
1,12.358,124,1,1,0.14583333333333337,0.8541666666666669
1,12.812,123,1,1,0.15277777777777782,0.8472222222222223
1,13.002,122,1,1,0.15972222222222227,0.8402777777777779
1,13.477,121,1,1,0.1666666666666667,0.8333333333333335
1,16.452,120,1,1,0.17361111111111116,0.8263888888888891
1,19.216,119,1,1,0.1805555555555556,0.8194444444444446
1,19.66,118,1,1,0.18750000000000006,0.8125000000000002
1,21.086,117,1,1,0.1944444444444445,0.8055555555555558
1,22.739,116,1,1,0.20138888888888895,0.7986111111111114
1,23.189,115,1,1,0.2083333333333334,0.791666666666667
1,24.018,114,1,1,0.21527777777777785,0.7847222222222225
