row_index,treatment,propensity_score,analysis_weight
0,1,0.1450937453769921,4.8627565145715606
1,1,0.517253058746656,1.3640432736447632
2,0,0.6237162741699495,0.7825064551886333
3,1,0.5010909119413405,1.4080390179539926
4,1,0.6693696959299212,1.0540596024075504
5,0,0.544937204368516,0.6470413474163453
6,1,0.6494329536710036,1.0864178535556468
7,1,0.6586010102929841,1.0712943717497234
8,0,0.51859100960527,0.6116305476618031
9,1,0.7981857540563174,0.8839490707144015
10,0,0.49640263494215153,0.5846822578402916
11,1,0.7875663061777948,0.8958681320176678
12,1,0.5462657330575127,1.291597683798468
13,0,0.5503290322313239,0.6547997659388926
14,1,0.6543719422625087,1.078217921624326
15,1,0.5342772047131921,1.320579559321286
16,0,0.7990475810824964,1.4652445888960501
17,1,0.7016676675528872,1.0055409251166263
18,1,0.7844118440801594,0.8994708084538491
19,1,0.3790427793203272,1.861414051523968
20,1,0.5516547707532261,1.2789802480855812
21,1,0.818757822567509,0.8617390101300443
22,1,0.5296080331747126,1.332222155555559
23,1,0.8792486559298022,0.8024528110417561
24,0,0.7027881896529067,0.9906889100422452
25,1,0.8967112842336743,0.7868257798924884
26,0,0.37463893095046397,0.47083910242759436
27,0,0.6926081074709002,0.9578796695705638
28,1,0.8195516594146887,0.8609043096312594
29,0,0.7287346876884242,1.0854481980587514
30,1,0.8060467908502503,0.8753282856089625
31,1,0.8123865406668868,0.8684973473050972
32,0,0.7073142541364446,1.0060088289427966
33,1,0.8987098324697202,0.7850760390777493
34,1,0.6886011207408284,1.0246215614585217
35,0,0.892668669216907,2.7433224045222198
36,1,0.7297926968390022,0.966789005441646
37,1,0.9083927466370317,0.7767076060080825
38,1,0.5405731378399179,1.305199067742975
39,1,0.8156813233405429,0.8649892247943376
40,1,0.8991965955063584,0.7846510530416776
41,1,0.8406709866284263,0.8392766811011746
42,1,0.8908586088236432,0.7919949906385529
43,0,0.8318160561412405,1.7507286230112327
44,1,0.734063138199932,0.961164672136674
45,0,0.6201619316331479,0.7751841349405413
46,1,0.8128451359286505,0.8680073538847964
47,1,0.942313320693345,0.7487483622076091
48,1,0.8413874377035583,0.8385620273595532
49,1,0.9511623409330182,0.7417824751802716
50,1,0.8291761462554713,0.8509115448410067
51,0,0.8348389961133981,1.7827721890489798
52,1,0.6214234156456694,1.1353861759819133
53,1,0.9119953871443701,0.7736393906166382
54,0,0.6940889592141094,0.9625165658879512
55,1,0.5789141154067351,1.2187568704553773
56,1,0.7348341478506202,0.9601561898277263
57,1,0.3121686419261356,2.260174344233147
58,0,0.4124884631910316,0.501172191517635
59,0,0.7253227025153381,1.0719649826935054
60,1,0.46164944760420745,1.5283361849930333
61,1,0.8440856707353377,0.8358814513945018
62,0,0.5743359188804114,0.6917295997115654
63,1,0.584210534360873,1.2077076910765299
64,0,0.3133204133801034,0.42879452102808857
65,1,0.6262011606020613,1.1267234875087089
66,1,0.7215707317561451,0.9778051194487725
67,0,0.6109430188424382,0.7568157331822793
68,1,0.8447896019746012,0.8351849429803568
69,1,0.7630013714246446,0.9247107305169995
70,0,0.579648110012657,0.7004713228559774
71,1,0.45520555954395575,1.5499713058478704
72,0,0.6274546363326557,0.7903586332303997
73,1,0.8607948991408432,0.8196558277236174
74,1,0.6064763387948694,1.1633686434619475
75,1,0.8528626339160126,0.8272792446257373
76,1,0.47262122036962817,1.4928562771763694
77,1,0.7669145989690292,0.919992338787188
78,0,0.4505588877502365,0.5358980933166803
79,1,0.7551544226388438,0.9343195701483574
80,1,0.8614357746882225,0.819046034872322
81,0,0.7861992977349834,1.3771911940657047
82,1,0.611658634912174,1.153511967761011
83,0,0.6213676396974561,0.7776526132345645
84,1,0.7678711299939938,0.9188463115693312
85,1,0.9239259371350661,0.7636494736183734
86,0,0.7516704278353962,1.18570028481857
87,1,0.91925359177077,0.7675309205987815
88,0,0.5058336827919606,0.5958407811119308
89,0,0.789834995417815,1.4010155735956598
90,1,0.4836427754077642,1.4588361316070408
91,1,0.8583084729609904,0.822030281399334
92,1,0.9243017278318876,0.7633389988467947
93,1,0.878380515840284,0.8032459086146747
94,1,0.9178506069164281,0.7687041335908793
95,1,0.6521079244872564,1.0819613273528679
96,1,0.7907231335047401,0.8922915312067647
97,0,0.6908698911659347,0.9524935812787363
98,1,0.8560124209721283,0.8242351842912434
99,1,0.957191435089403,0.7371101847454953
100,1,0.8789518153783543,0.8027238162672679
101,1,0.8806865555810419,0.8011426438661348
102,0,0.6478414316037328,0.8361132480329716
103,1,0.8737214871125284,0.8075291336685253
104,1,0.692013167763019,1.0195695521753052
105,1,0.8918851483074347,0.7910834224502067
106,1,0.9564163748782355,0.737707523718822
107,1,0.7863956284730844,0.8972017773363097
108,0,0.5122610575164712,0.6036927109923931
109,1,0.383186128987123,1.841286785146823
110,0,0.49006781154632795,0.5774188237407081
111,1,0.7832951669135805,0.9007531073320133
112,1,0.5399768773979288,1.3066403119991485
113,1,0.8811013254339933,0.8007655137824571
114,1,0.33834653810979565,2.085304491357314
115,1,0.6579193993965536,1.0724042431378282
116,0,0.38445347022159876,0.4783463640846864
117,1,0.696335378678541,1.0132410001837218
118,1,0.7800949909655721,0.904448257874654
119,1,0.682488480057168,1.0337984833040046
120,1,0.5453784459916734,1.2936990098180883
121,0,0.549579092000668,0.6537095397109787
122,1,0.6536863277636167,1.0793488032240068
123,1,0.533523185532208,1.322445911796203
124,0,0.6974672933583039,0.9732648337859516
125,1,0.8943401807675251,0.7889118377193407
126,0,0.36872027969867066,0.4664246846134974
127,0,0.6871860808251516,0.9412766708755812
128,1,0.5509052372418948,1.2807203632478013
129,1,0.8183077551857354,0.8622129646020673
130,1,0.5288531207579487,1.3341238386649932
131,1,0.8084930854305366,0.8726797647005664
132,0,0.7020400329997392,0.9882013594268744
133,1,0.5822290870670833,1.211817772811242
134,1,0.6831407501105472,1.0328114015177416
135,0,0.5664188320999701,0.6790987852874966
136,1,0.8191031277813261,0.8613757311202894
137,1,0.9432608386929953,0.7479962345656056
138,1,0.8055726544631151,0.8758434781103422
139,1,0.811840406615326,0.8690815951094545
140,0,0.5835319492756161,0.707003679951685
141,1,0.8372469113388906,0.8427090575076119
142,0,0.5618076125469385,0.671952441154594
143,0,0.892378014766506,2.7359135199524993
144,1,0.9435469546487117,0.7477694163278161
145,1,0.7324223311950403,0.9633179185079623
146,1,0.8089589596835267,0.872177194046502
147,1,0.7195582488240951,0.980539875275667
148,1,0.8379757918868724,0.8419760599132037
149,1,0.7536440861878959,0.9361919883487932
150,1,0.8255563002449005,0.8546425668924739
151,1,0.8944505388827553,0.7888145010643679
152,1,0.7334712179240258,0.9619403438249683
153,1,0.9099399081917495,0.7753869779792926
154,0,0.7157583949924549,1.0358949543527536
155,1,0.9044973550664596,0.780052646481994
156,0,0.754637653079574,1.2000392404949416
157,1,0.9186464546860553,0.7680381848277824
158,1,0.8926669152033219,0.7903906188736164
159,1,0.8344207862907478,0.8455632543527145
160,1,0.9103780854449915,0.7750137737670618
161,1,0.8573142150616266,0.8229836192612738
162,0,0.5681285365845231,0.6817872200117505
163,1,0.8318683718316074,0.8481576887002732
164,0,0.30789354110707556,0.4254323025903126
165,1,0.620250028020082,1.1375340970282255
166,1,0.41175436152768324,1.7135351109283135
167,0,0.7247186234458013,1.0696126564394477
168,1,0.4608964906215659,1.5308329959380729
169,1,0.7583878548318836,0.9303360425147635
170,0,0.5734606625952349,0.690310174522147
171,1,0.4489278089138873,1.571645911761493
172,0,0.6215113980168187,0.7779479828497674
173,1,0.6254916464483172,1.128001564148553
174,1,0.72096157564428,0.9786312882556093
175,0,0.6102225701124234,0.7554168657979271
176,1,0.46630886834345087,1.513064844899952
177,1,0.7623535327790937,0.9254965383101381
178,0,0.4442929587756482,0.5298555220673735
179,1,0.7504381160097018,0.9401915234625876
180,0,0.49405689382823054,0.581971452625109
181,0,0.8604314254225333,2.1096758015610075
182,1,0.6057529563030469,1.1647579235297687
183,0,0.615386818719663,0.7655599411966842
184,1,0.7633230049841759,0.9243210946723427
185,1,0.6560824296757228,1.0754068751761658
186,0,0.746909503163524,1.1633958924767038
187,1,0.6413454205531647,1.1001178661991682
188,1,0.8610737042683265,0.8193904331976806
189,0,0.863024727729025,2.149617515356727
190,1,0.6109386674542786,1.1548713367506043
191,1,0.8551981497737607,0.8250199743091207
192,1,0.6572905422250289,1.0734302568345837
193,1,0.8756469654215495,0.8057534410752976
194,0,0.6370204067712907,0.8111873227510019
195,1,0.6463363013001897,1.0916229741950725
196,1,0.8636569635521884,0.8169395782483272
197,0,0.7893315858282731,1.3976677310744232
198,1,0.8528603366150496,0.8272814730203804
199,1,0.7783755958182943,0.9064461416134404
200,1,0.8762292962815453,0.8052179475734514
201,1,0.8072277790366827,0.8740476652049076
202,0,0.6420378807162079,0.8225575517140379
203,1,0.9206333500434962,0.7663806177803801
204,1,0.7902212862544337,0.8928582003906972
205,1,0.9325700565997139,0.7565711021519539
206,1,0.7751236273457646,0.9102490630708432
207,1,0.9283874689058862,0.7599796197023855
208,0,0.5382417558460084,0.6376593123614058
209,1,0.8105920351233846,0.8704200448356973
210,1,0.8687753843462674,0.8121265499326609
211,1,0.8733868010062493,0.8078385827936357
212,1,0.9329062478800962,0.7562984567407878
213,1,0.8915926297469922,0.7913429654031254
214,1,0.7788946994773343,0.9058420297750238
215,1,0.9298210777595362,0.7588078743661493
216,0,0.37847360536450675,0.4737440710255392
217,1,0.6909497605974754,1.0211387220764798
218,0,0.4893106323373806,0.5765627073696303
219,1,0.7827804005733733,0.9013454540235655
220,0,0.24472082473074938,0.3898484879309395
221,0,0.5432977658322353,0.6447186425111364
222,1,0.647926752810209,1.0889433913561943
223,1,0.5272105740719709,1.3382803575165743
224,0,0.692092873456031,0.9562768090149997
225,1,0.5707278630260597,1.2362381465215753
226,1,0.7795747620429638,0.9050518178738464
227,0,0.37238763138259967,0.4691501620547907
228,1,0.5446270811741402,1.2954837905498127
229,1,0.8145091231338588,0.8662340734022724
230,1,0.5225338691325916,1.3502580353820524
231,1,0.8045382715296746,0.8769695370912282
232,0,0.5720402288752496,0.6880189782104865
233,1,0.7002823179841784,1.007530159531311
234,0,0.36801527941939055,0.46590437214041486
235,0,0.6865343774664747,0.9393197316651635
236,1,0.8153173716172961,0.8653753496702609
237,0,0.7230893875743949,1.0633194656761302
238,1,0.8015723324694575,0.8802144572304579
239,1,0.4039515924024541,1.7466339255140642
240,0,0.5773599870785764,0.6966790541414897
241,1,0.8960975306402185,0.7873646912646552
242,1,0.6824845129924323,1.0338044924447671
243,0,0.8899196479849022,2.6748137978706734
244,1,0.7241610806604141,0.9743074771597905
245,1,0.9060040511656527,0.7787554091483335
246,1,0.3994445073267216,1.7663418637985016
247,1,0.7144155810068129,0.9875982191782953
248,1,0.8965954030103751,0.7869274738489721
249,1,0.8368336070109869,0.8431252636658177
250,1,0.888069040518578,0.7944827748342114
251,0,0.8278090915128883,1.7099883323194338
252,1,0.7284874128080995,0.9685212718169715
253,0,0.6134556399772276,0.7617351975517063
254,0,0.7105740739325112,1.017339560574768
255,1,0.9022855122126127,0.781964850377981
256,1,0.837563979410495,0.842390041716155
257,1,0.9498272825340373,0.7428251099223104
258,1,0.5664143361481605,1.245652714854659
259,1,0.8308894105879172,0.8491569955817846
260,1,0.6147255596772854,1.147756985940122
261,1,0.8541857743585536,0.8259977826081087
262,0,0.9006195769800469,2.9628012791344966
