covariate,treated_mean_before,control_mean_before,smd_before,treated_mean_after,control_mean_after,smd_after,variance_ratio_after
age,60.21408450704225,52.37241379310345,0.5219024604808852,50.98449612403101,53.434108527131784,-0.1630339741415421,0.9620113112054341
bmi,28.471887323943662,26.85544827586207,0.30527648710282346,27.11674418604651,27.26651162790698,-0.02828469071432162,0.8657439195998081
severity,4.244718309859155,3.0474137931034484,0.5261980114966756,3.001453488372093,3.267926356589147,-0.11711097002588103,0.9804897144500319
frailty,1.8161971830985915,1.596551724137931,0.20492475047319766,1.6531007751937985,1.6317829457364341,0.01988910174993878,1.1104374974767524
sex_M,0.5352112676056338,0.41379310344827586,0.24437690929063216,0.4573643410852713,0.4573643410852713,0.0,1.0000000000000002
site_B,0.2704225352112676,0.2,0.16622717953560415,0.2248062015503876,0.2248062015503876,0.0,1.0000000000000002
site_C,0.22535211267605634,0.3103448275862069,-0.19232790675958922,0.31007751937984496,0.2713178294573643,0.08770834108925678,1.0820668693009121
site_D,0.2647887323943662,0.21379310344827587,0.11945711280872573,0.23255813953488372,0.23255813953488372,0.0,1.0000000000000002
region_northeast,0.18309859154929578,0.2413793103448276,-0.14253378102286568,0.2558139534883721,0.2558139534883721,0.0,1.0
region_other,0.19436619718309858,0.21379310344827587,-0.04809736585010892,0.17829457364341086,0.20930232558139536,-0.07676936146153036,0.8852578068264347
region_south,0.2056338028169014,0.18620689655172415,0.04884307783733509,0.18604651162790697,0.17054263565891473,0.03897980514227636,1.0705182667799489
region_west,0.2112676056338028,0.1724137931034483,0.09856446591969198,0.16279069767441862,0.16279069767441862,0.0,1.0
insurance_medicaid,0.22535211267605634,0.3103448275862069,-0.19232790675958922,0.31007751937984496,0.2713178294573643,0.08770834108925678,1.0820668693009121
insurance_medicare,0.23943661971830985,0.27586206896551724,-0.08315417854835501,0.23255813953488372,0.2713178294573643,-0.0884829217731591,0.9027355623100304
insurance_self,0.2647887323943662,0.21379310344827587,0.11945711280872573,0.23255813953488372,0.23255813953488372,0.0,1.0000000000000002
