pair_id,treated_row,control_row,treated_propensity,control_propensity,distance
1,79697,33081,0.0071423126531984455,0.007141819657699417,4.929954990282037e-07
2,44730,34677,0.007411491644511637,0.007411855355753555,3.637112419184116e-07
3,71452,4057,0.007616608810213456,0.007617466825830183,8.58015616726944e-07
4,34570,22265,0.007693430194151623,0.007693203265265966,2.269288856566326e-07
5,63643,48841,0.008328835152966115,0.00832874223302628,9.291993983452651e-08
6,40811,15735,0.008765308642986953,0.008764741382133144,5.67260853808968e-07
7,4934,75761,0.009222846528112366,0.009220883886047613,1.962642064753245e-06
8,52036,68318,0.009481433234235656,0.00948109940401702,3.3383021863682416e-07
9,16719,83680,0.009675968274116702,0.009678543667769253,2.5753936525509807e-06
10,32467,84231,0.009909536993427172,0.009909772343863003,2.3535043583086668e-07
11,21479,65014,0.009939912960117737,0.00993867968205912,1.2332780586175873e-06
12,77428,76808,0.010369925774806261,0.01037086567740441,9.399025981491477e-07
13,57363,50349,0.010918983077238372,0.010916055817336724,2.9272599016486045e-06
14,42,25822,0.011655724922354012,0.011655576955023924,1.4796733008824725e-07
15,71805,85141,0.011814131266714536,0.011811252982610902,2.8782841036342766e-06
16,28781,84028,0.012006052558967029,0.012005577316963586,4.7524200344310763e-07
17,78767,28145,0.012049923889030768,0.012049923204651338,6.843794298633243e-10
18,43059,76523,0.012211084562914167,0.012211744598528841,6.600356146739539e-07
19,32644,61698,0.01263517287954982,0.012635218882584271,4.6003034451236324e-08
20,37832,48994,0.012666988352333047,0.012666831662025754,1.5669030729338618e-07
21,1566,25942,0.01321916908946023,0.013219362820971131,1.9373151090122664e-07
22,52169,13084,0.013365960555958649,0.013364674141207868,1.2864147507802431e-06
23,74869,46145,0.01342926292488065,0.013430478332204615,1.2154073239650787e-06
24,72412,67800,0.013509165030020339,0.013509920780824507,7.557508041686894e-07
25,81749,83178,0.013629352665858413,0.013627077429999766,2.275235858646349e-06
26,47600,15653,0.013767618254196203,0.013767236858432823,3.8139576337935244e-07
27,81884,42318,0.01389067749070225,0.013892511233938781,1.8337432365310435e-06
28,27951,36098,0.013892035747831462,0.013892672948364423,6.372005329612768e-07
29,7868,36106,0.014056452179756776,0.014055831574797556,6.206049592196589e-07
30,4961,3487,0.014388677640897258,0.014386732462997726,1.945177899531636e-06
31,83632,14095,0.014423256933893671,0.014422780241876352,4.7669201731943833e-07
32,54341,67129,0.01444345311405828,0.014443733178913986,2.800648557059471e-07
33,53084,52689,0.014552891162928417,0.014547746669386703,5.14449354171477e-06
34,39687,66445,0.014910798214994046,0.014911086660616607,2.8844562256075124e-07
35,84998,55070,0.014943098400912857,0.014943073729771314,2.4671141542892405e-08
36,54273,84259,0.015045194014605556,0.015043950118530288,1.2438960752675365e-06
37,5441,13557,0.015095463543868076,0.015093413983268834,2.0495605992411348e-06
38,42826,10922,0.015476854103840174,0.015476441006666439,4.130971737355271e-07
39,28588,80786,0.015589593711180127,0.015588421058580906,1.1726525992218628e-06
40,43669,75015,0.01562646391709125,0.015626147065693447,3.168513978031584e-07
