row_index,treatment,propensity_score,analysis_weight
0,1,0.008334185703150733,68.65964385769493
1,0,0.22074044885205935,0.5489541670007265
2,1,0.9022611552380589,0.6342090855848084
3,1,0.26753578546499146,2.1388623627589465
4,1,0.6925894654008087,0.8262069390429889
5,0,0.023177366599003203,0.4379277907273573
6,1,0.4360601682815454,1.3122551974358794
7,1,0.9870330566768177,0.5797396737134649
8,0,0.2466741704564228,0.5678522639227153
9,1,0.8807743314155532,0.6496808567326938
10,0,0.1010283638402242,0.4758523634907521
11,1,0.9049931880935868,0.6322945075726336
12,0,0.026695504705604528,0.43951073877285224
13,0,0.41815538480667364,0.735209653243319
14,1,0.959050777888567,0.5966547709621995
15,0,0.4809704765854228,0.8241877551849558
16,0,0.8951734528690541,4.08081530381242
17,0,0.08251381866703085,0.46624983185717433
18,0,0.7456015869522122,1.6815269114804636
19,1,0.118695927025878,4.820908657611029
20,1,0.4537765483024402,1.2610220258470441
21,1,0.9493476599007699,0.6027530760248921
22,1,0.22186276247755116,2.5791719882696476
23,1,0.9730495746686022,0.5880709854039118
24,0,0.09417045461010945,0.47224975157291
25,1,0.7010846544493482,0.8161956171636102
26,0,0.03979036821058299,0.4455045686019462
27,0,0.7783889040903718,1.9303084803669903
28,1,0.9558798960389648,0.5986340173001155
29,0,0.18578029568583945,0.5253837207711728
30,1,0.8814565418491109,0.6491780309688553
31,0,0.30533521660428636,0.6158046125307831
32,0,0.7589687254567014,1.7747812128875093
33,1,0.986118873162237,0.5802771225615512
34,0,0.5193935720967912,0.8900791852578585
35,1,0.9892009809390316,0.5784691212892059
36,0,0.20870676442927732,0.5406058823051125
37,1,0.8561253671666802,0.668386014674432
38,1,0.1357473602204349,4.215346959918871
39,1,0.930134639375567,0.6152036468681304
40,1,0.9879691091433409,0.5791903986941362
41,1,0.4637615682961264,1.2338715869117474
42,1,0.9657346080535736,0.5925253350664621
43,0,0.5272198402891758,0.904813302739751
44,1,0.8887504043737114,0.6438503087100796
45,0,0.07760497497018767,0.46376852234643373
46,1,0.8037770400554758,0.7119166058571765
47,1,0.997128082639918,0.5738703303864952
48,0,0.49992968501160806,0.8554352557154042
49,1,0.9575451467471725,0.5975929429187636
